Date Time,Power (kW)
8/2/2018 23:30,0
8/2/2018 23:35,0
8/2/2018 23:40,0
8/2/2018 23:45,0
8/2/2018 23:50,0
8/2/2018 23:55,0
8/3/2018 0:00,0
8/3/2018 0:05,0
8/3/2018 0:10,0
8/3/2018 0:15,0
8/3/2018 0:20,0
8/3/2018 0:25,0
8/3/2018 0:30,0
8/3/2018 0:35,0
8/3/2018 0:40,0
8/3/2018 0:45,0
8/3/2018 0:50,0
8/3/2018 0:55,0
8/3/2018 1:00,0
8/3/2018 1:05,0
8/3/2018 1:10,0
8/3/2018 1:15,0
8/3/2018 1:20,0
8/3/2018 1:25,0
8/3/2018 1:30,0
8/3/2018 1:35,0
8/3/2018 1:40,0
8/3/2018 1:45,0
8/3/2018 1:50,0
8/3/2018 1:55,0
8/3/2018 2:00,0
8/3/2018 2:05,0
8/3/2018 2:10,0
8/3/2018 2:15,0
8/3/2018 2:20,0
8/3/2018 2:25,0
8/3/2018 2:30,0
8/3/2018 2:35,0
8/3/2018 2:40,0
8/3/2018 2:45,0
8/3/2018 2:50,0
8/3/2018 2:55,0
8/3/2018 3:00,0
8/3/2018 3:05,0
8/3/2018 3:10,0
8/3/2018 3:15,0
8/3/2018 3:20,0
8/3/2018 3:25,0
8/3/2018 3:30,0
8/3/2018 3:35,0
8/3/2018 3:40,0
8/3/2018 3:45,0
8/3/2018 3:50,0
8/3/2018 3:55,0
8/3/2018 4:00,0
8/3/2018 4:05,0
8/3/2018 4:10,0
8/3/2018 4:15,0
8/3/2018 4:20,0
8/3/2018 4:25,0
8/3/2018 4:30,0
8/3/2018 4:35,0
8/3/2018 4:40,0
8/3/2018 4:45,0
8/3/2018 4:50,0
8/3/2018 4:55,0
8/3/2018 5:00,0
8/3/2018 5:05,0
8/3/2018 5:10,0
8/3/2018 5:15,0
8/3/2018 5:20,0
8/3/2018 5:25,0
8/3/2018 5:30,0
8/3/2018 5:35,0
8/3/2018 5:40,0
8/3/2018 5:45,0
8/3/2018 5:50,0
8/3/2018 5:55,0
8/3/2018 6:00,0
8/3/2018 6:05,0
8/3/2018 6:10,2.41
8/3/2018 6:15,5.06
8/3/2018 6:20,7.02
8/3/2018 6:25,8.93
8/3/2018 6:30,11.01
8/3/2018 6:35,12.94
8/3/2018 6:40,14.55
8/3/2018 6:45,16.49
8/3/2018 6:50,18.27
8/3/2018 6:55,20.29
8/3/2018 7:00,22.81
8/3/2018 7:05,25.64
8/3/2018 7:10,29.11
8/3/2018 7:15,33.41
8/3/2018 7:20,37.96
8/3/2018 7:25,43.13
8/3/2018 7:30,49.62
8/3/2018 7:35,56.92
8/3/2018 7:40,63.59
8/3/2018 7:45,72.52
8/3/2018 7:50,80.43
8/3/2018 7:55,89.9
8/3/2018 8:00,98.77
8/3/2018 8:05,107.34
8/3/2018 8:10,117.3
8/3/2018 8:15,127.38
8/3/2018 8:20,137.46
8/3/2018 8:25,147.37
